457	Philippine (Other)				
458	Phoenician				
459	Pije				
460	Pila				
461	Pitcairnese				
462	Pokomo				
463	Polish	pl	pol	pol	polski
464	Ponape				
465	Portuguese	pt	por	por	Português
466	Prakrit languages				
467	Provençal				
468	Provençal (to 1500)				
469	Pulaar				
470	Puluwat				
471	Punjabi				
472	Pushto				
473	Quechua	qu	que	que	Runa Simi
474	Raeto				
475	Rajasthani				
476	Rapa				
477	Rapanui				
478	Rarotongan				
479	Romance (Other)				
480	Romanian	ro	rum	ron	română
481	Romany				
482	Rumanian				
483	Rundi				
484	RUS				
485	Russian	ru	rus	rus	русский язык
486	Rwanda				
487	Sahaptin				
488	Salish				
489	Salishan languages				
490	Samaritan Aramaic				
491	Samburu				
492	Sami				
493	Samoan	sm	smo	smo	gagana fa'a Samoa
494	Sandawe				
495	Sango	sg	sag	sag	yângâ tî sängö
496	Sanskrit	sa	san	san	संस्कृतम्
497	Santali				
498	Saramaccan				
499	Sardinian	sc	srd	srd	sardu
500	Sasak				
501	Scientific Name				
502	Scots				
503	Scottish Gaelic	gd	gla	gla	Gàidhlig
504	Selkup				
505	Semitic (Other)				
506	Sena				
507	Serbian	sr	scc	srp	српски језик
508	Serer				
509	Shan				
510	Shawnee				
511	Sherpa				
512	Shilluk				
513	Shona	sn	sna	sna	chiShona
514	Shuswap				
515	Sidamo				
516	Sign languages				
517	Siksika				
518	Sindhi	sd	snd	snd	सिन्धी
519	Sinhalese	si	sin	sin	සිංහල
520	Sino				
521	Siouan (Other)				
522	Slave				
523	Slavic (Other)				
524	Slovak	sk	slo	slk	slovenčina
525	Slovene				
526	Slovenian	sl	slv	slv	slovenščina
527	Sogdian				
528	Somali	so	som	som	Soomaaliga
529	Songhai				
530	Soninke				
531	Sorbian languages				
532	Sotho	st	sot	sot	seSotho
533	South American Indian (Other)				
534	SPA				
535	Spanish	es	spa	spa	español
536	Sranan				
537	Sukuma				
538	Sumerian				
539	Sundanese	su	sun	sun	Basa Sunda
540	Surigaonon				
541	Susu				
542	Swahili	sw	swa	swa	Kiswahili
543	Swazi				
544	Swedish	sv	swe	swe	Svenska
545	Syriac				
546	Tagalog	tl	tgl	tgl	Tagalog
547	Tagbanwa Calamian				
548	Tahitian	ty	tah	tah	Reo Mā`ohi
549	Tai (Other)				
550	Tajik	tg	tgk	tgk	тоҷикӣ
551	Tamachek				
552	Tamashek				
