TaxonID	dc:source	ScientificName	HigherTaxonID	TaxonRank	TaxonomicStatus
cyphophthalmi:tid:466	http://cyphophthalmi.lifedesks.org/pages/466	Parasiro minor	cyphophthalmi:tid:373		
cyphophthalmi:tid:467	http://cyphophthalmi.lifedesks.org/pages/467	Parasiro corsicus	cyphophthalmi:tid:373		
cyphophthalmi:tid:465	http://cyphophthalmi.lifedesks.org/pages/465	Parasiro coiffaiti	cyphophthalmi:tid:373		
cyphophthalmi:tid:468	http://cyphophthalmi.lifedesks.org/pages/468	Siro rubens	cyphophthalmi:tid:374		
cyphophthalmi:tid:402	http://cyphophthalmi.lifedesks.org/pages/402	Suzukielus sauteri	cyphophthalmi:tid:375	species	
cyphophthalmi:tid:391	http://cyphophthalmi.lifedesks.org/pages/391	Troglosiro sheari	cyphophthalmi:tid:390	species	
cyphophthalmi:tid:381	http://cyphophthalmi.lifedesks.org/pages/381	Troglosiro aelleni	cyphophthalmi:tid:390	species	
cyphophthalmi:tid:384	http://cyphophthalmi.lifedesks.org/pages/384	Troglosiro longifossa	cyphophthalmi:tid:390	species	
cyphophthalmi:tid:385	http://cyphophthalmi.lifedesks.org/pages/385	Troglosiro monteithi	cyphophthalmi:tid:390	species	
cyphophthalmi:tid:383	http://cyphophthalmi.lifedesks.org/pages/383	Troglosiro juberthiei	cyphophthalmi:tid:390	species	
cyphophthalmi:tid:382	http://cyphophthalmi.lifedesks.org/pages/382	Troglosiro brevifossa	cyphophthalmi:tid:390	species	
cyphophthalmi:tid:394	http://cyphophthalmi.lifedesks.org/pages/394	Troglosiro wilsoni	cyphophthalmi:tid:390	species	
cyphophthalmi:tid:387	http://cyphophthalmi.lifedesks.org/pages/387	Troglosiro oscitatio	cyphophthalmi:tid:390	species	
cyphophthalmi:tid:388	http://cyphophthalmi.lifedesks.org/pages/388	Troglosiro platnicki	cyphophthalmi:tid:390	species	
cyphophthalmi:tid:392	http://cyphophthalmi.lifedesks.org/pages/392	Troglosiro tillierorum	cyphophthalmi:tid:390	species	
cyphophthalmi:tid:386	http://cyphophthalmi.lifedesks.org/pages/386	Troglosiro ninqua	cyphophthalmi:tid:390	species	
cyphophthalmi:tid:393	http://cyphophthalmi.lifedesks.org/pages/393	Troglosiro urbanus	cyphophthalmi:tid:390	species	
cyphophthalmi:tid:389	http://cyphophthalmi.lifedesks.org/pages/389	Troglosiro raveni	cyphophthalmi:tid:390	species	
cyphophthalmi:tid:396	http://cyphophthalmi.lifedesks.org/pages/396	Ankaratra franzi	cyphophthalmi:tid:395	species	
cyphophthalmi:tid:398	http://cyphophthalmi.lifedesks.org/pages/398	Marwe coarctata	cyphophthalmi:tid:397	species	
cyphophthalmi:tid:400	http://cyphophthalmi.lifedesks.org/pages/400	'Neogovea' mexasca	cyphophthalmi:tid:399	species	
cyphophthalmi:tid:404	http://cyphophthalmi.lifedesks.org/pages/404	?Gen. enigmaticus	cyphophthalmi:tid:403	species	
cyphophthalmi:tid:412	http://cyphophthalmi.lifedesks.org/pages/412	Ceratolasmatidae	cyphophthalmi:tid:422	family	
cyphophthalmi:tid:414	http://cyphophthalmi.lifedesks.org/pages/414	Ischyropsalididae	cyphophthalmi:tid:422	family	
cyphophthalmi:tid:417	http://cyphophthalmi.lifedesks.org/pages/417	Sabaconidae	cyphophthalmi:tid:422	family	
cyphophthalmi:tid:418	http://cyphophthalmi.lifedesks.org/pages/418	Trogulidae	cyphophthalmi:tid:423	family	
cyphophthalmi:tid:416	http://cyphophthalmi.lifedesks.org/pages/416	Nipponopsalididae	cyphophthalmi:tid:423	family	
cyphophthalmi:tid:415	http://cyphophthalmi.lifedesks.org/pages/415	Nemastomatidae	cyphophthalmi:tid:423	family	
cyphophthalmi:tid:413	http://cyphophthalmi.lifedesks.org/pages/413	Dicranolasmatidae	cyphophthalmi:tid:423	family	
